Wall time,Step,Value
1528672917.4368045,155,653.6130981445312
1528673211.681364,643,491.3480224609375
1528673354.0332105,889,439.91156005859375
1528673365.6062663,909,394.3792419433594
1528673460.5660279,1060,450.07220458984375
1528673923.7234304,1860,322.100341796875
1528674072.414788,2104,323.0290832519531
1528674171.0766573,2275,342.4576416015625
1528674187.4056973,2303,432.7596740722656
1528674298.5294926,2495,264.8556823730469
1528674328.5254393,2547,404.4704284667969
1528674483.369137,2815,353.7557373046875
1528674708.8371947,3191,315.3137512207031
1528675181.2909362,4010,193.2952880859375
1528675926.224603,5278,177.99876403808594
1528675935.1912313,5294,232.92556762695312
1528676045.9425223,5485,376.9515380859375
1528676062.6655285,5513,281.9002990722656
1528676164.3562205,5689,390.0768737792969
1528676758.322991,6705,207.0078582763672
1528676857.9042943,6876,392.20977783203125
1528676864.7950552,6888,243.7592010498047
1528677194.407457,7445,303.9665222167969
1528677287.4262006,7604,192.9125213623047
1528677560.7135599,8081,355.54705810546875
1528677943.186437,8730,419.0251159667969
1528678192.9302719,9161,359.1390380859375
1528678386.350953,9485,158.6857452392578
1528678609.6250618,9868,234.93247985839844
1528678611.9324975,9872,282.13568115234375
1528678639.9815881,9920,203.7210693359375
1528679078.7628608,10663,117.91192626953125
1528679897.5287695,12070,201.47653198242188
1528680346.1655595,12830,125.06401062011719
1528680382.6614795,12894,133.02236938476562
1528680519.846623,13129,287.0748596191406
1528681254.8962123,14373,178.4193878173828
1528681259.2931159,14381,233.22079467773438
1528681374.3637395,14580,241.28253173828125
1528681538.7845283,14863,181.1756591796875
1528681705.8399932,15154,236.103515625
1528681722.54782,15182,100.19378662109375
1528682040.2472882,15719,105.52565002441406
1528682878.702593,17153,140.29310607910156
1528683077.0305216,17483,119.67981719970703
1528683289.6491258,17849,197.64471435546875
1528683328.5371237,17917,71.6242904663086
1528683718.4074514,18577,157.7648162841797
1528683976.3778095,19023,70.240966796875
1528684403.6975367,19748,180.37486267089844
1528684779.086412,20398,86.86819458007812
1528685271.8818307,21239,135.78199768066406
1528685304.2172089,21295,121.66221618652344
1528686151.6495316,22742,97.4032974243164
1528686348.7627242,23082,213.50927734375
1528686476.4059477,23304,89.65286254882812
1528686574.9764147,23475,102.24759674072266
1528686772.5694208,23805,92.50901794433594
1528687259.6717172,24638,74.23191833496094
1528687303.3432298,24714,180.4037322998047
1528687463.4618104,24993,88.35267639160156
1528688123.690873,26126,117.8955307006836
1528688418.3919857,26625,101.23306274414062
1528688445.583954,26673,95.04478454589844
1528688775.106624,27243,165.3227996826172
1528689039.6426606,27688,93.90782928466797
1528689475.58556,28441,58.968441009521484
1528690005.0089161,29347,82.08291625976562
1528690186.2167125,29658,92.26116943359375
1528690193.0065186,29670,97.06199645996094
1528690309.8164077,29861,113.39725494384766
1528690977.985239,31002,90.47129821777344
1528691058.0338185,31142,167.6175994873047
1528691429.1653264,31772,61.91539764404297
1528691602.4576476,32070,174.32125854492188
1528691866.056395,32524,51.217437744140625
1528691960.9463897,32687,60.15242004394531
1528692292.4358473,33251,133.4156951904297
1528692325.3147337,33307,117.02676391601562
1528692606.8182008,33789,202.69784545898438
1528692634.6868603,33827,119.71304321289062
1528692849.764412,34199,95.75698852539062
1528693493.211172,35301,120.49054718017578
1528693623.7868373,35527,113.60469818115234
1528693757.3609817,35758,59.307228088378906
1528694378.041765,36821,118.34358978271484
1528694862.9316392,37647,85.77860260009766
1528695066.1640348,37988,42.89928436279297
1528695096.0007153,38040,91.37239837646484
1528695395.5441484,38560,116.05155944824219
1528695734.9715502,39136,74.96211242675781
1528695881.8057482,39391,88.85614013671875
1528696734.5133367,40859,43.57557678222656
1528696750.942609,40886,171.0282440185547
1528697023.6294029,41348,81.34901428222656
1528697208.3855064,41668,65.41865539550781
1528697307.5772207,41839,96.35107421875
1528697508.293659,42175,86.84827423095703
1528697906.681968,42863,62.37651824951172
1528698193.7399824,43347,119.74217224121094
1528698200.543455,43358,34.06901550292969
1528698341.436454,43601,51.31022644042969
1528698360.0895846,43633,114.260498046875
1528698466.0761569,43816,65.52403259277344
1528698660.265656,44141,96.07447814941406
1528699393.649569,45404,63.700748443603516
1528699517.0139186,45615,37.60088348388672
1528699654.5483563,45853,257.9212341308594
1528699732.9444895,45989,91.22201538085938
1528700012.393162,46461,68.4337158203125
1528700184.3353395,46756,28.703857421875
1528700673.5346901,47591,99.02201843261719
1528700684.8850517,47611,61.615386962890625
1528701127.9891305,48367,56.348289489746094
1528701417.3798897,48870,56.35587692260742
1528702303.8618917,50386,35.7629508972168
1528702776.2599814,51206,95.51983642578125
1528702924.9192963,51451,53.57921600341797
1528703144.6378987,51829,75.77067565917969
1528703206.3206255,51937,93.33883666992188
1528703998.5462844,53295,98.77030944824219
1528704336.0592618,53869,107.97791290283203
1528704453.6960263,54072,25.41176414489746
1528704507.2200897,54164,84.74842834472656
1528704949.2862844,54920,60.78767776489258
1528705576.9109962,55995,102.72798156738281
1528705906.4214237,56553,29.86635398864746
1528706075.0476623,56844,175.4014129638672
1528706175.3608537,57019,113.76131439208984
1528706431.2133138,57451,64.50978088378906
1528706870.4023032,58211,60.837345123291016
1528706939.4499578,58331,61.42410659790039
1528706982.8903399,58406,62.31142044067383
1528707200.9485161,58771,56.1316032409668
1528707269.1596231,58890,91.0484390258789
1528707417.6232615,59146,49.2961540222168
1528707461.4850328,59221,100.83625030517578
